,rank_order,epsisode,rank
0,1,For Warrick,9.0
1,2,One to Go,8.9
2,3,Living Doll,8.9
3,4,Girls Gone Gadgets,8.8
4,5,Gum Drops,8.8
5,6,Willows in the Wind,8.7
6,7,For Gedda,8.7
7,8,Monster in the Box,8.7
8,9,Law of Gravity,8.7
9,10,Blood Drops,8.7
10,11,Ms. Willows Regrets,8.6
11,12,"Turn, Turn, Turn",8.6
12,13,Ending Happy,8.6
13,14,Built to Kill: Part 2,8.6
14,15,Lady Heather's Box,8.6
15,16,19 Down,8.5
16,17,Loco Motives,8.5
17,18,What's Eating Gilbert Grissom?,8.5
18,19,The Finger,8.5
19,20,Identity Crisis,8.5
20,21,Grave Danger (2),8.5
21,22,Grave Danger (1),8.5
22,23,A Bullet Runs Through It: Part 2,8.5
23,24,Forget Me Not,8.4
24,25,Appendicitement,8.4
25,26,Lab Rats,8.4
26,27,Living Legend,8.4
27,28,Fannysmackin',8.4
28,29,Rashomama,8.4
29,30,The Strip Strangler,8.4
30,31,The Accused Is Entitled,8.4
31,32,Stalker,8.4
32,33,Jackpot,8.4
33,34,Inside the Box,8.4
34,35,A Bullet Runs Through It: Part 1,8.4
35,36,Bloodlines,8.4
36,37,4x4,8.4
37,38,Homecoming,8.3
38,39,The Unusual Suspect,8.3
39,40,Unfriendly Skies,8.3
40,41,Pirates of the Third Reich,8.3
41,42,Butterflied,8.3
42,43,Genetic Disorder,8.2
43,44,Lost & Found,8.2
44,45,Sqweegel,8.2
45,46,Family Affair,8.2
46,47,If I Had a Hammer...,8.2
47,48,Post Mortem,8.2
48,49,Bang-Bang,8.2
49,50,Who Shot Sherlock?,8.2
50,51,Slaves of Las Vegas,8.2
51,52,"Kiss Kiss, Bye Bye",8.2
52,53,Invisible Evidence,8.2
53,54,Iced,8.2
54,55,Boom,8.2
55,56,Anonymous,8.2
56,57,Skin in the Game,8.1
57,58,Tell-Tale Hearts,8.1
58,59,The Theory of Everything,8.1
59,60,Goodbye and Good Luck,8.1
60,61,Leaving Las Vegas,8.1
61,62,Still Life,8.1
62,63,Spark of Life,8.1
63,64,Play with Fire,8.1
64,65,"Gentle, Gentle",8.1
65,66,Down the Drain,8.1
66,67,Chaos Theory,8.1
67,68,And Then There Were None,8.1
68,69,All for Our Country,8.1
69,70,The End Game,8.0
70,71,Check In and Check Out,8.0
71,72,Bittersweet,8.0
72,73,Meat Jekyll,8.0
73,74,Art Imitates Life,8.0
74,75,A Thousand Days on Earth,8.0
75,76,Empty Eyes,8.0
76,77,Sweet Jane,8.0
77,78,Viva Las Vegas,8.0
78,79,The Hunger Artist,8.0
79,80,The Execution of Catherine Willows,8.0
80,81,Pilot,8.0
81,82,Mea Culpa,8.0
82,83,Justice Is Served,8.0
83,84,Homebodies,8.0
84,85,Crate 'n' Burial,8.0
85,86,Crash and Burn,8.0
86,87,Compulsion,8.0
87,88,Committed,8.0
88,89,Chasing the Bus,8.0
89,90,Ch-Ch-Changes,8.0
90,91,Caged,8.0
91,92,Blood Lust,8.0
92,93,Bad to the Bone,8.0
93,94,Assume Nothing,8.0
94,95,Anatomy of a Lye,8.0
95,96,A Night at the Movies,8.0
96,97,Frame by Frame,7.9
97,98,The Devil and D.B. Russell,7.9
98,99,Play Dead,7.9
99,100,Crime After Crime,7.9
100,101,House of Hoarders,7.9
101,102,The Two Mrs. Grissoms,7.9
102,103,World's End,7.9
103,104,Leave Out All the Rest,7.9
104,105,The Grave Shift,7.9
105,106,Grissom's Divine Comedy,7.9
106,107,Redrum,7.9
107,108,Happenstance,7.9
108,109,Built to Kill: Part 1,7.9
109,110,Toe Tags,7.9
110,111,Killer,7.9
111,112,Who Are You?,7.9
112,113,Turn of the Screws,7.9
113,114,Scuba Doobie-Doo,7.9
114,115,One Hit Wonder,7.9
115,116,No Humans Involved,7.9
116,117,Let the Seller Beware,7.9
117,118,I-15 Murders,7.9
118,119,Cool Change,7.9
119,120,Girls Gone Wild,7.8
120,121,Wild Flowers,7.8
121,122,Code Blue Plate Special,7.8
122,123,CSI Unplugged,7.8
123,124,Tressed to Kill,7.8
124,125,CSI Down,7.8
125,126,Doctor Who,7.8
126,127,Wild Life,7.8
127,128,The List,7.8
128,129,Irradiator,7.8
129,130,Coup de Grace,7.8
130,131,The Gone Dead Train,7.8
131,132,A Space Oddity,7.8
132,133,No Way Out,7.8
133,134,Lying Down with Dogs,7.8
134,135,Dead Doll,7.8
135,136,A La Cart,7.8
136,137,Fallen Idols,7.8
137,138,Way to Go,7.8
138,139,Sounds of Silence,7.8
139,140,Shooting Stars,7.8
140,141,Pledging Mr. Johnson,7.8
141,142,Paper or Plastic?,7.8
142,143,Organ Grinder,7.8
143,144,Nesting Dolls,7.8
144,145,King Baby,7.8
145,146,Friends & Lovers,7.8
146,147,Face Lift,7.8
147,148,Cross-Jurisdictions,7.8
148,149,Coming of Rage,7.8
149,150,Burden of Proof,7.8
150,151,Abra Cadaver,7.8
151,152,The Greater Good,7.7
152,153,Dead Woods,7.7
153,154,Girls Gone Wilder,7.7
154,155,The CSI Effect,7.7
155,156,Kitty,7.7
156,157,The Fallen,7.7
157,158,Boston Brakes,7.7
158,159,It Was a Very Good Year,7.7
159,160,Karma to Burn,7.7
160,161,Stealing Home,7.7
161,162,Zippered,7.7
162,163,A Kiss Before Frying,7.7
163,164,Better Off Dead,7.7
164,165,Death and the Maiden,7.7
165,166,Bloodsport,7.7
166,167,Hog Heaven,7.7
167,168,Burn Out,7.7
168,169,Up in Smoke,7.7
169,170,XX,7.7
170,171,Weeping Willows,7.7
171,172,Table Stakes,7.7
172,173,Swap Meet,7.7
173,174,Suckers,7.7
174,175,Snuff,7.7
175,176,Secrets & Flies,7.7
176,177,Random Acts of Violence,7.7
177,178,No More Bets,7.7
178,179,Hollywood Brass,7.7
179,180,Harvest,7.7
180,181,Grissom Versus the Volcano,7.7
181,182,Got Murder?,7.7
182,183,Fur and Loathing,7.7
183,184,Formalities,7.7
184,185,Felonious Monk,7.7
185,186,Fahrenheit 932,7.7
186,187,Evaluation Day,7.7
187,188,Ellie,7.7
188,189,Eleven Angry Jurors,7.7
189,190,Bad Words,7.7
190,191,After the Show,7.7
191,192,A Little Murder,7.7
192,193,$35K O.B.O.,7.7
193,194,Under My Skin,7.6
194,195,Bad Blood,7.6
195,196,Uninvited,7.6
196,197,Keep Calm and Carry-On,7.6
197,198,Backfire,7.6
198,199,Risky Business Class,7.6
199,200,Dead Air,7.6
200,201,Strip Maul,7.6
201,202,Fallen Angels,7.6
202,203,Malice in Wonderland,7.6
203,204,73 Seconds,7.6
204,205,Bump and Grind,7.6
205,206,"In a Dark, Dark House",7.6
206,207,Cello and Goodbye,7.6
207,208,Targets of Obsession,7.6
208,209,Field Mice,7.6
209,210,Working Stiffs,7.6
210,211,Say Uncle,7.6
211,212,Let It Bleed,7.6
212,213,Disarmed and Dangerous,7.6
213,214,Drops' Out,7.6
214,215,You Kill Me,7.6
215,216,Cockroaches,7.6
216,217,"The Good, the Bad and the Dominatrix",7.6
217,218,Meet Market,7.6
218,219,Time of Your Death,7.6
219,220,Spellbound,7.6
220,221,You've Got Male,7.6
221,222,Werewolves,7.6
222,223,Too Tough to Die,7.6
223,224,To Halve and to Hold,7.6
224,225,"Sex, Lies and Larvae",7.6
225,226,Overload,7.6
226,227,Last Laugh,7.6
227,228,Fight Night,7.6
228,229,Feeling the Heat,7.6
229,230,Early Rollout,7.6
230,231,Burked,7.6
231,232,Bully for You,7.6
232,233,Bodies in Motion,7.6
233,234,Bite Me,7.6
234,235,Alter Boys,7.6
235,236,The Twin Paradox,7.5
236,237,De Los Muertos,7.5
237,238,Ghosts of the Past,7.5
238,239,Dead of the Class,7.5
239,240,Altered Stakes,7.5
240,241,Trends with Benefits,7.5
241,242,Seeing Red,7.5
242,243,Maid Man,7.5
243,244,Hitting for the Cycle,7.5
244,245,418/427,7.5
245,246,The Panty Sniffer,7.5
246,247,Neverland,7.5
247,248,The Lost Girls,7.5
248,249,Ghost Town,7.5
249,250,Young Man with a Horn,7.5
250,251,"Woulda, Coulda, Shoulda",7.5
251,252,Miscarriage of Justice,7.5
252,253,Who and What,7.5
253,254,Go to Hell,7.5
254,255,The Case of the Cross-Dressing Carp,7.5
255,256,Big Shots,7.5
256,257,Double Cross,7.5
257,258,Unbearable,7.5
258,259,Revenge Is Best Served Cold,7.5
259,260,Recipe for Murder,7.5
260,261,Primum Non Nocere,7.5
261,262,Lucky Strike,7.5
262,263,Dog Eat Dog,7.5
263,264,Merchants of Menace,7.4
264,265,Dead in His Tracks,7.4
265,266,Killer Moves,7.4
266,267,Under a Cloud,7.4
267,268,Take the Money and Run,7.4
268,269,Last Woman Standing,7.4
269,270,In Vino Veritas,7.4
270,271,Double Fault,7.4
271,272,CSI on Fire,7.4
272,273,Split Decisions,7.4
273,274,Brain Doe,7.4
274,275,Cold Blooded,7.4
275,276,Father of the Bride,7.4
276,277,Unleashed,7.4
277,278,Man Up,7.4
278,279,Internal Combustion,7.4
279,280,Sin City Blue,7.4
280,281,Lover's Lanes,7.4
281,282,The Happy Place,7.4
282,283,Two and a Half Deaths,7.4
283,284,Bull,7.4
284,285,The Chick Chop Flick Shop,7.4
285,286,Leapin' Lizards,7.4
286,287,I Like to Watch,7.4
287,288,Room Service,7.4
288,289,Precious Metal,7.4
289,290,High and Low,7.4
290,291,Getting Off,7.4
291,292,Forever,7.4
292,293,Dead Ringer,7.4
293,294,Cats in the Cradle...,7.4
294,295,Big Middle,7.4
295,296,Let's Make a Deal,7.3
296,297,Love for Sale,7.3
297,298,Sheltered,7.3
298,299,Freaks & Geeks,7.3
299,300,Pool Shark,7.3
300,301,All That Cremains,7.3
301,302,"Take My Life, Please",7.3
302,303,The Descent of Man,7.3
303,304,Deep Fried and Minty Fresh,7.3
304,305,Daddy's Little Girl,7.3
305,306,Crow's Feet,7.3
306,307,The Last Ride,7.2
307,308,Hero to Zero,7.2
308,309,Angle of Attack,7.2
309,310,Dead Rails,7.2
310,311,Buzz Kill,7.2
311,312,The Lost Reindeer,7.2
312,313,Passed Pawns,7.2
313,314,Pick and Roll,7.2
314,315,Dune and Gloom,7.2
315,316,Fracked,7.2
316,317,Blood Moon,7.2
317,318,Long Ball,7.2
318,319,Kill Me if You Can,7.2
319,320,Snakes,7.2
320,321,Long Road Home,7.1
321,322,Helpless,7.1
322,323,Last Supper,7.1
323,324,Torch Song,7.1
324,325,Fearless,7.1
325,326,"Turn On, Tune In, Drop Dead",7.1
326,327,Unshockable,7.1
327,328,All In,7.1
328,329,Road to Recovery,7.0
329,330,Consumed,7.0
330,331,Exile,6.9
331,332,Shock Waves,6.9
332,333,Poppin' Tags,6.9
333,334,Rubbery Homicide,6.8
334,335,The Book of Shadows,6.8
335,336,Mascara,6.3
